companyName,contactName,phone,entryDate,registrationNumber,AuthCode,CISRegistrationNumber,AccountsOfficeReference,natureOfBusiness,accountingReferenceDate,registrationDate,incorporationDate,corporationTax_UTR,VATRegistered,vatNumber,vatReturnsPeriod,quarter1DueBy,quarter2DueBy,quarter3DueBy,quarter4DueBy,confirmationStatementDueBy,annualVatDueBy,shareholderName,numberOfShares,shareClass,directorTitle,dateOfAppointment,dateRegistrationForSE,dateOfResignation,dName,dDateOfBirth,dUTR,dUTR_ID,dUTR_Password,dNIN,businessAddress,registeredOfficeAddress,telephone,email,website,bankName,accountNumber,accountHolder,sortCode,RMdepartmentName,description,clientName,Email,clientDepartment
text,text,number,1/4/1990,text,text,text,text,text,1/2/1990,1/2/1990,1/2/1990,text,0 or 1,0,"annual, quarterly",1/2/1990,1/2/1990,1/2/1990,1/2/1990,1/2/1990,1/2/1990,text,12345,text,text,1/2/1990,1999-01-00,1/8/2000,text,1/2/2050,text,text,,text,text,text,num,email,url,text,text,text,text,RMdepartmentName,description,text,text,"[
      'Annual accounts, CT and Director department',
      'Finance department',
      'General and administrative matters',
      'Paye, Pension and CIS department department',
      'Self-employed and partnership department',
      'Vat department'
    ]"
0,0,0,1/2/1990,0,0,0,0,0,1/3/1990,1/3/1990,1/3/1990,0,0,0,0,1/3/1990,1/3/1990,1/3/1990,1/3/1990,1/3/1990,1/3/1990,0,0,0,0,1/3/1990,1/1/1999,1/9/2000,0,1/3/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamezd.ashra1fsp@Gmail.com,Finance department
0,0,0,1/3/1990,0,0,0,0,0,1/4/1990,1/4/1990,1/4/1990,0,0,0,0,1/4/1990,1/4/1990,1/4/1990,1/4/1990,1/4/1990,1/4/1990,0,0,0,0,1/4/1990,1/2/1999,1/10/2000,0,1/4/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamezd.ashra12fsp@Gmail.com,Finance department
0,0,0,1/4/1990,0,0,0,0,0,1/5/1990,1/5/1990,1/5/1990,0,0,0,0,1/5/1990,1/5/1990,1/5/1990,1/5/1990,1/5/1990,1/5/1990,0,0,0,0,1/5/1990,1/3/1999,1/11/2000,0,1/5/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamezd.ashra3fsp@Gmail.com,Finance department
0,0,0,1/5/1990,0,0,0,0,0,1/6/1990,1/6/1990,1/6/1990,0,0,0,0,1/6/1990,1/6/1990,1/6/1990,1/6/1990,1/6/1990,1/6/1990,0,0,0,0,1/6/1990,1/4/1999,1/12/2000,0,1/6/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamezd.ashra4fsp@Gmail.com,Finance department
0,0,0,1/6/1990,0,0,0,0,0,1/7/1990,1/7/1990,1/7/1990,0,0,0,0,1/7/1990,1/7/1990,1/7/1990,1/7/1990,1/7/1990,1/7/1990,0,0,0,0,1/7/1990,1/5/1999,1/13/2000,0,1/7/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamezd.ashr5afsp@Gmail.com,Finance department
0,0,0,1/7/1990,0,0,0,0,0,1/8/1990,1/8/1990,1/8/1990,0,0,0,0,1/8/1990,1/8/1990,1/8/1990,1/8/1990,1/8/1990,1/8/1990,0,0,0,0,1/8/1990,1/6/1999,1/14/2000,0,1/8/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamezd.ashr4afsp@Gmail.com,Finance department
0,0,0,1/8/1990,0,0,0,0,0,1/9/1990,1/9/1990,1/9/1990,0,0,0,0,1/9/1990,1/9/1990,1/9/1990,1/9/1990,1/9/1990,1/9/1990,0,0,0,0,1/9/1990,1/7/1999,1/15/2000,0,1/9/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamzed.ashra5fsp@Gmail.com,Finance department
0,0,0,1/9/1990,0,0,0,0,0,1/10/1990,1/10/1990,1/10/1990,0,0,0,0,1/10/1990,1/10/1990,1/10/1990,1/10/1990,1/10/1990,1/10/1990,0,0,0,0,1/10/1990,1/8/1999,1/16/2000,0,1/10/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashr6afsp@Gmail.com,Finance department
0,0,0,1/10/1990,0,0,0,0,0,1/11/1990,1/11/1990,1/11/1990,0,0,0,0,1/11/1990,1/11/1990,1/11/1990,1/11/1990,1/11/1990,1/11/1990,0,0,0,0,1/11/1990,1/9/1999,1/17/2000,0,1/11/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashr7afsp@Gmail.com,Finance department
0,0,0,1/11/1990,0,0,0,0,0,1/12/1990,1/12/1990,1/12/1990,0,0,0,0,1/12/1990,1/12/1990,1/12/1990,1/12/1990,1/12/1990,1/12/1990,0,0,0,0,1/12/1990,1/10/1999,1/18/2000,0,1/12/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@gmail.com,Finance department
0,0,0,1/12/1990,0,0,0,0,0,1/13/1990,1/13/1990,1/13/1990,0,0,0,0,1/13/1990,1/13/1990,1/13/1990,1/13/1990,1/13/1990,1/13/1990,0,0,0,0,1/13/1990,1/11/1999,1/19/2000,0,1/13/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrqwqwqwqp@Gmail.com,Finance department
0,0,0,1/13/1990,0,0,0,0,0,1/14/1990,1/14/1990,1/14/1990,0,0,0,0,1/14/1990,1/14/1990,1/14/1990,1/14/1990,1/14/1990,1/14/1990,0,0,0,0,1/14/1990,1/12/1999,1/20/2000,0,1/14/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrqwqwqwqp@Gmail.com,Finance department
0,0,0,1/14/1990,0,0,0,0,0,1/15/1990,1/15/1990,1/15/1990,0,0,0,0,1/15/1990,1/15/1990,1/15/1990,1/15/1990,1/15/1990,1/15/1990,0,0,0,0,1/15/1990,1/13/1999,1/21/2000,0,1/15/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrqwqwqwqp@Gmail.com,Finance department
0,0,0,1/15/1990,0,0,0,0,0,1/16/1990,1/16/1990,1/16/1990,0,0,0,0,1/16/1990,1/16/1990,1/16/1990,1/16/1990,1/16/1990,1/16/1990,0,0,0,0,1/16/1990,1/14/1999,1/22/2000,0,1/16/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrqwqwqwqp@Gmail.com,Finance department
0,0,0,1/16/1990,0,0,0,0,0,1/17/1990,1/17/1990,1/17/1990,0,0,0,0,1/17/1990,1/17/1990,1/17/1990,1/17/1990,1/17/1990,1/17/1990,0,0,0,0,1/17/1990,1/15/1999,1/23/2000,0,1/17/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrqwqwqwqp@Gmail.com,Finance department
